locality_id,suburb_name,locality_class,state,lat,lon
loc4ff8c926c940,Ashwood,Gazetted Locality,VIC,-37.865485,145.102546
loc588c867d4a80,Aspendale,Gazetted Locality,VIC,-38.022411,145.103601
loc62bb1a0efe24,Aspendale Gardens,Gazetted Locality,VIC,-38.023463,145.123486
loc6bd6bdb52299,Athlone,Gazetted Locality,VIC,-38.24341,145.78687
locabd4ee5e179a,Attwood,Gazetted Locality,VIC,-37.667178,144.88252
locc7c615646f18,Aubrey,Gazetted Locality,VIC,-36.230445,142.21919
locd1ca5d96e929,Auchmore,Gazetted Locality,VIC,-36.476914,144.092191
loc24a73b7c0f1f,Avalon,Gazetted Locality,VIC,-38.048859,144.447075
loc4125644a3e48,Avenel,Gazetted Locality,VIC,-36.93217,145.312966
loc7a389af5c5f0,Avoca,Gazetted Locality,VIC,-37.069055,143.479821
loc09d5b3d1a041,Avon Plains,Gazetted Locality,VIC,-36.535918,142.940547
loc151f19603153,Avondale Heights,Gazetted Locality,VIC,-37.762861,144.863025
loc17e7f65d9665,Avonmore,Gazetted Locality,VIC,-36.534845,144.541474
locc3526335f3d5,Avonsleigh,Gazetted Locality,VIC,-37.913736,145.482198
locaddb8f975411,Axe Creek,Gazetted Locality,VIC,-36.861464,144.385119
locb6d54ff2bcb7,Axedale,Gazetted Locality,VIC,-36.772841,144.531174
loc8f5284a27c70,Ayrford,Gazetted Locality,VIC,-38.435725,142.853491
locd777103bd088,Bacchus Marsh,Gazetted Locality,VIC,-37.678364,144.441015
locadd0c24c200e,Baddaginnie,Gazetted Locality,VIC,-36.602444,145.859811
loca6d8813738eb,Badger Creek,Gazetted Locality,VIC,-37.688289,145.543365
loc071b37be3d4d,Bael Bael,Gazetted Locality,VIC,-35.684358,143.737059
loc77b84027033d,Bagshot,Gazetted Locality,VIC,-36.654324,144.402907
loce42d1b5e2aab,Bagshot North,Gazetted Locality,VIC,-36.588636,144.410851
loc02143e7526bf,Bahgallah,Gazetted Locality,VIC,-37.702661,141.28301
loc5b05103f6f82,Bailieston,Gazetted Locality,VIC,-36.753346,145.084332
loc232da9d11723,Bairnsdale,Gazetted Locality,VIC,-37.853256,147.603903
loc2c1864e3cbb6,Bakery Hill,Gazetted Locality,VIC,-37.563106,143.865998
loc0e52a8070878,Balaclava,Gazetted Locality,VIC,-37.870524,144.994834
loc579a0e419572,Bald Hills,Gazetted Locality,VIC,-37.446347,143.838309
loc2dfdbcee246f,Balintore,Gazetted Locality,VIC,-38.281937,143.569738
loc9b1b54e515f7,Ballan,Gazetted Locality,VIC,-37.603859,144.214495
loc51c40eb71225,Ballangeich,Gazetted Locality,VIC,-38.186156,142.61344
locb3042bbbc56a,Ballapur,Gazetted Locality,VIC,-35.975184,142.747885
loc76166a14c514,Ballarat Central,Gazetted Locality,VIC,-37.559382,143.850481
loc0da1e4cdebda,Ballarat East,Gazetted Locality,VIC,-37.564329,143.897037
loc387ede10db16,Ballarat North,Gazetted Locality,VIC,-37.537399,143.864867
locbd7d7c19e839,Ballendella,Gazetted Locality,VIC,-36.293249,144.674641
