suburb_name,state,lat,lon,postcode
AUCHMORE,VIC,-36.476914,144.092191,3570.0
AVALON,VIC,-38.048859,144.447075,3212.0
AVENEL,VIC,-36.93217,145.312966,3664.0
AVOCA,VIC,-37.069055,143.479821,3467.0
AVON PLAINS,VIC,-36.535918,142.940547,3477.0
AVON PLAINS,VIC,-36.535918,142.940547,3477.0
AVONDALE HEIGHTS,VIC,-37.762861,144.863025,3034.0
AVONDALE HEIGHTS,VIC,-37.762861,144.863025,3034.0
AVONDALE HEIGHTS,VIC,-37.762861,144.863025,3034.0
AVONMORE,VIC,-36.534845,144.541474,3559.0
AVONMORE,VIC,-36.534845,144.541474,3559.0
AVONSLEIGH,VIC,-37.913736,145.482198,3782.0
AVONSLEIGH,VIC,-37.913736,145.482198,3782.0
AXE CREEK,VIC,-36.861464,144.385119,3551.0
AXEDALE,VIC,-36.772841,144.531174,3551.0
AYRFORD,VIC,-38.435725,142.853491,3268.0
AYRFORD,VIC,-38.435725,142.853491,3268.0
BACCHUS MARSH,VIC,-37.678364,144.441015,3340.0
BADDAGINNIE,VIC,-36.602444,145.859811,3670.0
BADGER CREEK,VIC,-37.688289,145.543365,3777.0
BAEL BAEL,VIC,-35.684358,143.737059,3579.0
BAGSHOT,VIC,-36.654324,144.402907,3551.0
BAGSHOT NORTH,VIC,-36.588636,144.410851,3551.0
BAGSHOT NORTH,VIC,-36.588636,144.410851,3551.0
BAHGALLAH,VIC,-37.702661,141.28301,3312.0
BAILIESTON,VIC,-36.753346,145.084332,3608.0
BAIRNSDALE,VIC,-37.853256,147.603903,3875.0
BAKERY HILL,VIC,-37.563106,143.865998,3350.0
BAKERY HILL,VIC,-37.563106,143.865998,3354.0
BALACLAVA,VIC,-37.870524,144.994834,3183.0
BALD HILLS,VIC,-37.446347,143.838309,3364.0
BALINTORE,VIC,-38.281937,143.569738,3249.0
BALLAN,VIC,-37.603859,144.214495,3342.0
BALLANGEICH,VIC,-38.186156,142.61344,3279.0
BALLANGEICH,VIC,-38.186156,142.61344,3279.0
BALLAPUR,VIC,-35.975184,142.747885,3483.0
BALLARAT CENTRAL,VIC,-37.559382,143.850481,3350.0
BALLARAT CENTRAL,VIC,-37.559382,143.850481,3350.0
BALLARAT EAST,VIC,-37.564329,143.897037,3350.0
BALLARAT EAST,VIC,-37.564329,143.897037,3350.0
BALLARAT NORTH,VIC,-37.537399,143.864867,3350.0
BALLARAT NORTH,VIC,-37.537399,143.864867,3350.0
BALLENDELLA,VIC,-36.293249,144.674641,3561.0
BALLIANG,VIC,-37.820042,144.358442,3340.0
BALLIANG EAST,VIC,-37.8186,144.44374,3340.0
BALLIANG EAST,VIC,-37.8186,144.44374,3340.0
BALLYROGAN,VIC,-37.431561,143.114593,3375.0
BALMATTUM,VIC,-36.710904,145.656206,3666.0
BALMORAL,VIC,-37.216476,141.835,3407.0
BALNARRING,VIC,-38.355467,145.127099,3926.0
BALNARRING BEACH,VIC,-38.391343,145.121047,3926.0
BALNARRING BEACH,VIC,-38.391343,145.121047,3926.0
BALOOK,VIC,-38.425087,146.551335,3971.0
BALWYN,VIC,-37.809681,145.087372,3103.0
BALWYN NORTH,VIC,-37.790822,145.084601,3104.0
BALWYN NORTH,VIC,-37.790822,145.084601,3104.0
BAMAWM,VIC,-36.263787,144.635318,3561.0
BAMAWM EXTENSION,VIC,-36.176089,144.600332,3564.0
BAMAWM EXTENSION,VIC,-36.176089,144.600332,3564.0
BAMBRA,VIC,-38.361746,143.949143,3241.0
BAMGANIE,VIC,-37.939586,144.009363,3333.0
BANDIANA,VIC,-36.131086,146.937215,3691.0
BANGERANG,VIC,-36.191191,142.581469,3393.0
BANGHOLME,VIC,-38.046634,145.175897,3175.0
BANKSIA PENINSULA,VIC,-37.949778,147.681587,3875.0
BANKSIA PENINSULA,VIC,-37.949778,147.681587,3875.0
BANKSIA PENINSULA,VIC,-37.949778,147.681587,3875.0
BANNERTON,VIC,-34.737629,142.79858,3549.0
BANNOCKBURN,VIC,-38.049779,144.159426,3331.0
